,stop_name,stop_lat,stop_lon
359,MIDDLE RD + LUNT,43.724543,-70.24449
362,CONGRESS ST + MELLEN,43.653153,-70.269664
363,MAIN ST + 795 MAIN,43.676395,-70.363997
365,WASHINGTON AVE + GALVIN,43.680859,-70.258887
366,WASHINGTON AVE + 975 WASHINGTON,43.689414,-70.275386
368,BLUEBERRY LN + 29 BLUEBERRY,43.72136,-70.251549
369,TOWN LANDING,43.735051,-70.208743
370,WASHINGTON AVE + MALILLY,43.689722,-70.275648
371,MAIN ST + DEER HILL,43.679499,-70.341504
372,ST JOHN ST + 325 ST JOHN,43.65396,-70.279595
373,FOREST AVE + PREBLE ST,43.664919,-70.274654
374,PARK AVE + DEERING,43.656245,-70.273705
375,CONGRESS ST + 1412 CONGRESS,43.658653,-70.298485
376,PREBLE ST + PORTLAND,43.658741,-70.261591
377,FOREST AVE + 550 FOREST,43.668387,-70.280703
378,BRIGHTON AVE + DARTMOUTH,43.66321,-70.284146
379,ROUTE 1 + 178 ROUTE,43.714986,-70.233646
380,CONGRESS ST + BRAMHALL,43.653941,-70.272653
381,GRAY RD + 18 GRAY,43.726033,-70.294677
382,SPRING ST + STATE,43.651153,-70.264366
384,FOREST AVE + 1250 FOREST,43.689247,-70.295351
385,ROUTE 1 + 170 ROUTE,43.712844,-70.233978
386,RIVERTON PARK,43.700598,-70.320329
387,BRIGHTON AVE + BELFIELD,43.667203,-70.297222
388,WEST ST + CHADWICK,43.650761,-70.27479
389,CONGRESS ST + SEWALL,43.657269,-70.290089
391,JETPORT HILTON,43.649107,-70.315159
392,ST JOHN ST + 274 ST JOHN,43.652074,-70.279324
393,CONGRESS ST + STATE,43.653126,-70.267624
394,WASHINGTON AVE + AUBURN,43.721239,-70.293808
395,CONGRESS ST + WASHINGTON,43.663165,-70.251258
396,CONGRESS ST + ELM,43.657989,-70.258278
397,CONGRESS ST + EXCHANGE,43.659024,-70.256626
398,FALMOUTH,43.723638,-70.230467
399,RIVERTON,43.700154,-70.319753
400,BRIDGE ST + EVERETT,43.686835,-70.362408
401,BRIGHTON AVE + WARWICK,43.67396,-70.317889
402,PORTLAND CITY,43.658929,-70.25723
404,PARK AVE + ST JAMES,43.655891,-70.283775
405,STEVENS AVE + REDLON,43.6636,-70.298059
406,BRIGHTON AVE + RAND,43.674351,-70.321523
409,WASHINGTON AVE + PRESUMPSCOT,43.682197,-70.261174
410,PORTLAND PUBLIC,43.657578,-70.259053
411,JETPORT BLVD + GARDEN INN,43.649492,-70.314973
412,BRIGHTON AVE + LUCAS,43.671236,-70.30852
413,CUMBERLAND AVE + 255 CUMBERLAND,43.660164,-70.257938
415,PORTLAND,43.647523,-70.310554
417,FOREST AVE PLAZA,43.666124,-70.276639
418,BRIGHTON AVE + WAYSIDE,43.671294,-70.308247
420,AUBURN ST + LAMBERT,43.715129,-70.292293
422,SUMMIT ST + 276 SUMMIT,43.715006,-70.28822
423,SUMMIT ST + ALPINE,43.71302,-70.285779
424,SUMMIT ST + 140 SUMMIT,43.711367,-70.284017
425,ALLEN AVE + MEADOW,43.707555,-70.280171
426,ALLEN AVE + 558 ALLEN,43.705549,-70.281645
427,RAY ST + MERRYMEETING DR,43.703395,-70.281879
428,RAY ST + MAINE,43.699029,-70.277806
429,RAY ST + DAKOTA,43.696976,-70.278008
430,RAY ST + IVALOO,43.693265,-70.277162
431,RAY ST + JOSEPH,43.691463,-70.277704
432,MAINE AVE + 17 MAINE,43.695512,-70.283468
433,MAINE AVE + 95 MAINE,43.697313,-70.280739
434,MAINE AVE + RAY,43.699136,-70.277966
435,RAY ST + 355 RAY,43.701226,-70.279731
436,RAY ST + MERRYMEETING,43.70332,-70.281607
437,ALLEN AVE + VIRGINIA,43.706064,-70.280996
438,SUMMIT ST + 83 SUMMIT,43.710173,-70.282523
439,SUMMIT ST + PINELOCH,43.711496,-70.283987
440,SUMMIT ST + OAK NUTS,43.712747,-70.285285
441,SUMMIT ST + CURTIS,43.714589,-70.28732
443,SUMMIT ST + SUMAC,43.710187,-70.282723
444,SUMMIT ST + ALLEN,43.708451,-70.280163
447,ROUTE 1 + YARMOUTH,43.786234,-70.192139
448,YARMOUTH TOWN,43.80063,-70.187444
452,MAIN ST + GROVE,43.855488,-70.105827
455,FREEPORT TOWN HALL,43.855551,-70.105976
459,ALLEN AVE + ABBOTT,43.698285,-70.289217
462,ALLEN AVE + 320 ALLEN,43.699036,-70.288869
465,ROUTE 1 + 211 ROUTE,43.718408,-70.232988
466,WHOLEFOOD,43.66288,-70.258151
467,LANCASTER + CHESTNUT,43.660894,-70.261194
468,EAST BRIDGE ST + BRIDGTON,43.703672,-70.325914
